Categoria;Denominazione;Indirizzo;Città;Localita;Indirizzo internet;Indirizzo di posta elettronica
TURISMO RURALE;COUNTRY HOUSE LOCALITA' GIROFALCO;Via Girfalco, 26;URBINO;;www.girfalco.it;info@girfalco.it
ALTRI ALLOGGI PRIVATI;STAGNOZZI STEFANIA;Via Candigliano  5;URBINO;ACQUALAGNA;;gigliovitto@libero.it
ALTRI ALLOGGI PRIVATI;GORGOLINI ALESSANDRO;Via San Gregorio 9;ACQUALAGNA;ACQUALAGNA;;ale.gorgolini@gmail.com
ALBERGHI;LEON D'ORO;Via Flaminia 213;ACQUALAGNA;ACQUALAGNA;;
ALBERGHI;ALBERGO DOMUS MARIAE;viale Ezio Scaglioni 17;ACQUALAGNA;ACQUALAGNA;;giulianaspini@gmail.com
ALTRI ALLOGGI PRIVATI;TORRE COLOMBARA DI FRONTINO;STRADA FRONTINO 24/B;ACQUALAGNA;ACQUALAGNA;;luccardi.sandro@gmail.com
BED & BREAKFAST;B&B AQUILEGIA;via Furlo 12;ACQUALAGNA;Furlo;www.aquilegiabeb.com;info@aquilegiabeb.com
ALLOGGI AGRITURISTICI;DEL FRONTINO;strada frontino 23;ACQUALAGNA;ACQUALAGNA;;
ALBERGHI;LA GINESTRA;via Furlo 17;ACQUALAGNA;ACQUALAGNA;www.ginestrafurlo.it;info@ginestrafurlo.it
ALBERGHI;BIRRA AL POZZO;via Pianacce 12;ACQUALAGNA;ACQUALAGNA;www.birraalpozzo.it;info@birraalpozzo.it
BED & BREAKFAST;B&B CRISTINI CRISTINA;strada frontino 23;ACQUALAGNA;ACQUALAGNA;;cri.cristini@alice.it
BED & BREAKFAST;B&B MARTELLONI CESARE;via pianacce 67;ACQUALAGNA;ACQUALAGNA;www.lalocandadellabbazia.it;info@lalocandadellabbazia.it
ALBERGHI;ALBERGO MEUBLE' SHINE;via aldo gamba 54;ACQUALAGNA;ACQUALAGNA;;
ALLOGGI AGRITURISTICI;AGRITURISMO CASTELLAGO;strada Castellaro 18;ACQUALAGNA;ACQUALAGNA;;castellago@virgilio.it
ALBERGHI;ALBERGO ANTICO FURLO;via Flaminia 66;ACQUALAGNA;ACQUALAGNA;www.anticofurlo.it;info@anticofurlo.it
TURISMO RURALE;CA' GARAVANO;strada Frontino 21;ACQUALAGNA;ACQUALAGNA;www.cagaravano.com;urbini.alessandro@alice.it
ALTRI ALLOGGI PRIVATI;IL CONIO DI DI GIOVANNI FEDERICO;strada pietralatra 1;ACQUALAGNA;ACQUALAGNA;;
ALLOGGI AGRITURISTICI;AGRITURISMO I CONTI;via Pieve del Colle 11 b;ACQUALAGNA;pieve del colle;www.agriturismoiconti.it;info@agriturismoiconti.it
ALLOGGI AGRITURISTICI;LA COLOMBARA;strada Frontino 24;ACQUALAGNA;;;
ALTRI ALLOGGI PRIVATI;STROPPA GIUSEPPE;strada San Gregorio 12;ACQUALAGNA;Acqualagna;http://lapanoramicadastroppa.webstarts.com/;stroppag@libero.it
ALTRI ALLOGGI PRIVATI;SERAFINI GIORGIA;;ACQUALAGNA;;;
ALTRI ALLOGGI PRIVATI;BETTI VINCENZO;via Pole 69;ACQUALAGNA;;;
ALLOGGI IN AFFITTO;MARCHEHOLIDAY - CASALE DEGLI ULIVI;strada San Gregorio 1;ACQUALAGNA;loc.Ca Donnino;www.marcheholiday.it/ulivi;info@marcheholiday.it
AREE DI SOSTA (PLEIN AIR);AREA SOSTA CAMPER PARCO LE QUERCE;via Pianacce 1;ACQUALAGNA;RISERVA NATURALE STATALE GOLA DEL FURLO;parcodelfurlo.it;info@parcodelfurlo.it
ALTRI ALLOGGI PRIVATI;BACCHIOCCHI MARIA ELISA;via San Gregorio 17;ACQUALAGNA;;;remigio.battistelli@gmail.com
ALTRI ALLOGGI PRIVATI;MARCHETTI LORENZA;via Fossato 37/b;ACQUALAGNA;;;thomas.clementi@hotmail.it
BED & BREAKFAST;B&B BISCUBIO;via Circonvallazione 46;APECCHIO;;;marcellamartinelli17@gmail.com
ALBERGHI;GHIGHETTA;via Borgo Mazzini 40;APECCHIO;;;doradimaggio@libero.it
ALLOGGI AGRITURISTICI;AGRITURISMO LA ROCCA;;APECCHIO;località la rocca;;a.parlani@alice.it
ALLOGGI AGRITURISTICI;AGRITURISMO CA' PIERPAOLI;;APECCHIO;località Ca' Pierpaoli;www.chipierpaoli.it;info@chipierpaoli.it
ALLOGGI AGRITURISTICI;AGRITURISMO PIANDIMOLINO;località Pian di Molino 16;APECCHIO;PIAN DI MOLINO;www.agriturismopiandimolino.it;info@agriturismopiandimolino.it
BED & BREAKFAST;B&B GRANCI MARIA GRAZIA;via Martiri della Liberta' 20;APECCHIO;APECCHIO;;
TURISMO RURALE;LE CIOCCHE;;APECCHIO;APECCHIO;;ale_cipi@live.it
ALLOGGI AGRITURISTICI;FONTE SOMMA;;APECCHIO;loc.Fontesomma;www.fontesomma.it;info@fontesomma.it
TURISMO RURALE;COL ALPI;via Circonvallazione 40;APECCHIO;APECCHIO;;ilaesimo@virgilio.it
TURISMO RURALE;COUNTRY HOUSE CACCIABOCCA;vocabolo Caselle 100;APECCHIO;APECCHIO;www.countryhousechiciabocca.it;info@countryhousechiciabocca.it
BED & BREAKFAST;B&B MOCHI EDMONDO ADOLFO FEDERICO;via dante alighieri 41;APECCHIO;APECCHIO;;elenamochi@hotmail.it
AREE DI SOSTA (PLEIN AIR);AREA DI SOSTA CAMPER;;APECCHIO;APECCHIO;;
ALLOGGI IN AFFITTO;AFFITTACAMERE APPENNINO;via Garibaldi 9;APECCHIO;;;marcellamartinelli17@gmail.com
ALLOGGI AGRITURISTICI;AGRITURISMO PIEVE DI SAN PAOLO;San Paolo di Fagnille 29;APECCHIO;San Paolo di Fagnille;www.pievesp.it;info@pievesp.it
ALLOGGI IN AFFITTO;CASA DELLE ROSE;;APECCHIO;APECCHIO;www.valguerriera.it;info@valguerriera.it
ALLOGGI IN AFFITTO;VECCHIA FORNACE;vocabolo chignucci 1;APECCHIO;APECCHIO;www.valguerriera.it;info@valguerriera.it
ALLOGGI IN AFFITTO;ESSICCATOIO;vocabolo val d' acqua 1;APECCHIO;APECCHIO;www.valguerriera.it;info@valguerriera.it
TURISMO RURALE;COUNTRY HOUSE LA SPINA;vocabolo spina 1;APECCHIO;APECCHIO;www.countryhouselaspina.it;info@countryhouselaspina.it
ALLOGGI AGRITURISTICI;CA' QUATTROCCHI;via Roma 1;APECCHIO;APECCHIO;;
TURISMO RURALE;LUCARAIA;localita' Lucaraia 1;APECCHIO;APECCHIO;;lpraziendaagricola@gmail.com
ALBERGHI;MONTENERONE;localita' Pian di Trebbio 81;APECCHIO;APECCHIO;www.hotelmontenerone.it;info@hotelmontenerone.it
TURISMO RURALE;COL DI FIORE;loc Col di Fiore snc;APECCHIO;APECCHIO;;lpraziendaagricola@gmail.com
ALLOGGI AGRITURISTICI;CASELLINA;loc. la Casellina 1;APECCHIO;APECCHIO;;lpraziendaagricola@gmail.com
ALLOGGI AGRITURISTICI;TAVERNA;vocabolo caselle 1;APECCHIO;APECCHIO;;"marialaura@jumpi.it;"
ALLOGGI AGRITURISTICI;CHIGNONI;vocabolo Chignoni 1;APECCHIO;APECCHIO;www.chignoni.it;info@chignoni.it
ALLOGGI AGRITURISTICI;CA' CIRIGIOLO;Loc. Casa Nuova di Cirigiolo  s/n;APECCHIO;Apecchio;www.cacirigiolo.it;info@cacirigiolo.it
ALLOGGI AGRITURISTICI;VAL DEL LAGO;vocabolo Acquapartita 1;APECCHIO;loc. Val del Lago;;lpraziendaagricola@gmail.com
ALLOGGI AGRITURISTICI;CASELLE;;APECCHIO;Apecchio;;marialaura@jumpi.it
OSTELLI PER LA GIOVENTU';OSTELLO DELLA GIOVENTU' LA CHIUSURA (CUCCHIARINI ALDO LORIS);via dante alighieri 1;APECCHIO;APECCHIO;;cooplamacina@info-net.it
CASE PER FERIE;VILLA SANTA MARIA;via Cagli 89;APECCHIO;fraz. Serravalle;;
BED & BREAKFAST;B&B IL BORGO;BORGO MAZZINI 28;APECCHIO;APECCHIO;;stevemugs@gmail.com
ALLOGGI IN AFFITTO;IL POGGIO DI D'ANGELI LIDIA AFFITTACAMERE;Via Poggio San Giovanni 17;AUDITORE;AUDITORE;;info@baita7nani.com
ALLOGGI IN AFFITTO;IL POGGIO DI D'ANGELI LIDIA;Via Poggio San Giovanni 9;AUDITORE;AUDITORE;;info@baita7nani.com
BED & BREAKFAST;B&B IL GIARDINO DELLE NOCI;Località Molino Ca' Guerra 48;AUDITORE;loc. Casinina;;ilariasanti89@libero.it
ALBERGHI;IL TORRIONE;via circonvallazione 14;AUDITORE;AUDITORE;www.albergoiltorrione.it;info@albergoiltorrione.it
ALBERGHI;ANTICA OSTERIA DA ORESTE;via Risorgimento  4;AUDITORE;frazione CASININA;www.osteria-daoreste.it;info@osteria-daoreste.it
TURISMO RURALE;COUNTRY HOUSE VILLA CISCA;localita' molino fulvi 14;AUDITORE;AUDITORE;www.villacisca.com;info@villacisca.com
BED & BREAKFAST;B&B TELE GIANNA;via G. Leopardi 6;AUDITORE;CASININA;www.bb.telegianna.it;carla2009@alice.it
ALTRI ALLOGGI PRIVATI;LA LUNA NELL'ORTO;via Madonna Rafaneto 18;BARCHI;loc.Rafaneto;www.lalunanellorto.it;petrabartels@libero.it
ALLOGGI IN AFFITTO;LA GIRAVOLTA;via G. Campioli 10;BARCHI;;www.lagiravolta.eu;info@lagiravolta.eu
ALLOGGI IN AFFITTO;VILLA RODI;via Montesoffio 45;BARCHI;;;d.falcinelli@cia.it
ALTRI ALLOGGI PRIVATI;VILLA AGAPANTUS;via Villa di Monte Campagna 27;BARCHI;;;francini_m@hotmail.com
ALLOGGI AGRITURISTICI;FONTE PAROLLA AGRITURISMO;via Villa del Monte Campagna 13;BARCHI;loc. Villa del Monte;www.fonteparolla.it;info@fonteparolla.it
ALLOGGI AGRITURISTICI;FORESTERIA AGRITURISTICA STRADA DEI CAMPIOLI;via Giardino Campioli 31;BARCHI;;www.stradadeicampioli.it;info@stradadeicampioli.it
TURISMO RURALE;COUNTRY HOUSE MONTESOFFIO;localita' montesoffio 5;BARCHI;BARCHI;www.montesoffio.com;info@montesoffio.com
AREE DI SOSTA (PLEIN AIR);AREA DI SOSTA CAMPER;;BARCHI;;;
ALLOGGI AGRITURISTICI;CAL FATTORE;via Case Sparse snc;BELFORTE ALL'ISAURO;;;elebarbie@hotmail.it
ALTRI ALLOGGI PRIVATI;ROSSI ROSSANO;via Angelini 4;BELFORTE ALL'ISAURO;;;rossanorossi@hotmail.com
ALTRI ALLOGGI PRIVATI;CASALE FATTORIA GOSTOLI;via Molino 16;BELFORTE ALL'ISAURO;;;ilenia.battiato@tiscali.it
ALBERGHI;HOTEL LA RUPE;via Meta 76;BORGO PACE;BORGO PACE;;elisa@emtur.it
BED & BREAKFAST;B&B QUIETE SUL META;via Papa Clemente XI 4;BORGO PACE;;www.quietesulmeta.com;info@quietesulmeta.com
BED & BREAKFAST;B&B VALDERICARTE;loc. Valderica 8;BORGO PACE;LAMOLI;www.valdericarte.com;stella@valdericarte.com
ALLOGGI AGRITURISTICI;AGRITURISMO MORETTI MARCO;localita' Campovecchio 1;BORGO PACE;BORGO PACE;;
ALBERGHI;ALBERGO OASI SAN BENEDETTO;via dell'Abbazia 7;BORGO PACE;LAMOLI;;coloriappennino@libero.it
ALLOGGI IN AFFITTO;RANCO FABBRO;;BORGO PACE;PARCHIULE;;prenotazioni@lamacina.it
AREE DI SOSTA (PLEIN AIR);AREA DI SOSTA CAMPER;;BORGO PACE;LOC. LAMOLI;;
ALLOGGI AGRITURISTICI;AGRITURISMO SANTI GILBERTO;via Lame 18;BORGO PACE;loc. Parchiule;;
BED & BREAKFAST;B&B AURO di BERNARDINI IVO;loc. Molino 19;BORGO PACE;BORGO PACE;;ivobernardini@libero.it
ALLOGGI AGRITURISTICI;AGRITURISMO ALPE DELLA LUNA;;BORGO PACE;Vildonnino;http://www.alpedellaluna.it/;agr@alpedellaluna.it
ALBERGHI;LA DILIGENZA;piazza del Pino 9;BORGO PACE;BORGO PACE;www.anticalocandaladiligenza.it;info@centrobebladiligenza.it
RIFUGI;OASI SAN BENEDETTO;via dell' Abbazia 13;BORGO PACE;BORGO PACE;;trabaria@libero.it
